Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,IAS Reference Number,Client Reference Number,Mellon Security ID,Xref Security ID,Security Description 1,Security Description 2,Country Code,Country Name,Shares/Par,FX Receivables,Transaction Category,Transaction Code,Transaction Description 1,Transaction Description 2,Broker Name,Broker Code,Asset-Type/Sub-Category,Subcategory Code,Firm Code,Trade Date,Reported Date,Posted Date,Effective Date,Actual Settle Date,Contract Settle Date,Selection Date,Local Currency Name,Local Currency Code,Local Domestic Tax Reclaim Amount,Local Domestic Tax Expense Amount,Local DTR Amount,Local Txn Amount,Local Cost,Local Gain/Loss,Investment Gain/Loss Local,Investment Gain/Loss Local - Short,Investment Gain/Loss Local - Long,Local Price,Acct Base Currency Name,Acct Base Currency Code,Status,Base Domestic Tax Reclaim Amount,Base Domestic Tax Expense Amount,Base DTR Amount,Base Txn Amount,Base Cost,Base Gain/Loss,Investment Gain/Loss Base,Investment Gain/Loss Base - Short,Investment Gain/Loss Base - Long,Currency Gain/Loss Base,Currency Gain/Loss Base - Short,Currency Gain/Loss Base - Long,GL Account,GL Description,Base Price,Base Exchange Rate,Base Commission,Base Fees,Local Commission,Local Fees,Begin Date,End Date,Report Run Date,Client ID,Long/Short,Custom Unit Status,Value Factor,Tax Code,Tax Code Description,Link Ref,Issuer ID,Counterparty Name,CINS,CUSIP,Ticker,ISIN,SEDOL,Valoren,Sicovam,WPK,Quick,Client Instrument ID,IAS Record Locator,Acctg Status Update (EST),Primary GSP Account,Extended GSP Account Number,Contract Rate
KSBG66050000,TOTAL ILLIQUID REAL,KSBF60506302,FIRST RESERVE XIII,20201201S000010,GSF201201403,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM :8384388400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED OUT,#160,A1,12/1/2020,12/1/2020,12/1/2020,12/1/2020,12/1/2020,,12/1/2020,U.S. DOLLAR,USD,0,0,0,"-7,526.00","-7,526.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-7,526.00","-7,526.00",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20336000010S,1/29/2021 23:37,838438,838438,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201202S000080,GSF201202426,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM :3834968400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED IN,#085,A1,12/2/2020,12/2/2020,12/2/2020,12/2/2020,12/2/2020,,12/2/2020,U.S. DOLLAR,USD,0,0,0,"350,453.48","350,453.48",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"350,453.48","350,453.48",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20337000080S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201202S000020,NRF2011240F2,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM 8380848400 TO 2464398400,,,,CASH TRANSFERRED OUT,#160,A1,12/2/2020,12/2/2020,12/2/2020,12/2/2020,12/2/2020,,12/2/2020,U.S. DOLLAR,USD,0,0,0,"-130,720.00","-130,720.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-130,720.00","-130,720.00",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20337000020S,1/29/2021 23:37,838084,838084,0
KSBG55000000,TTL VNT CAP & PRV EQ,KSBF50524102,TI PLATFORM FUND II,20201202S000020,NRF2011240F2,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM 8380848400 TO 2464398400,,,,CASH TRANSFERRED IN,#085,A1,12/2/2020,12/2/2020,12/2/2020,12/2/2020,12/2/2020,,12/2/2020,U.S. DOLLAR,USD,0,0,0,"130,720.00","130,720.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"130,720.00","130,720.00",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20337000020S,1/29/2021 23:37,246439,246439,0
KSBG70000000,TOTAL ABS RETURN,KSBF70082002,KSOH FUND,20201202S000010,GSF201202426,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM :3834968400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED OUT,#160,A1,12/2/2020,12/2/2020,12/2/2020,12/2/2020,12/2/2020,,12/2/2020,U.S. DOLLAR,USD,0,0,0,"-350,453.48","-350,453.48",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-350,453.48","-350,453.48",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20337000010S,1/29/2021 23:37,383496,383496,0
KSBG25000000,TOTAL DEVELOPED MKT,KSBF19010002,US EQUITY BETA,20201207A000010,,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,TRANSFER FROM KSBF4750002,FUTURE ACTIVITY,,,CASH TRANSFERRED IN,#085,A1,12/3/2020,12/3/2020,12/7/2020,12/3/2020,12/3/2020,,12/3/2020,U.S. DOLLAR,USD,0,0,0,"1,408.46","1,408.46",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"1,408.46","1,408.46",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20342000010A,1/29/2021 23:37,838054,838054,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201203S000010,NRF2011130E6,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM 8380848400 TO 4660958400,,,,CASH TRANSFERRED OUT,#160,A1,12/3/2020,12/3/2020,12/3/2020,12/3/2020,12/3/2020,,12/3/2020,U.S. DOLLAR,USD,0,0,0,"-6,000,000.00","-6,000,000.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-6,000,000.00","-6,000,000.00",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20338000010S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201203S000020,NRF2011190E9,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM 8380848400 TO 4661238400,,,,CASH TRANSFERRED OUT,#160,A1,12/3/2020,12/3/2020,12/3/2020,12/3/2020,12/3/2020,,12/3/2020,U.S. DOLLAR,USD,0,0,0,"-204,693.65","-204,693.65",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-204,693.65","-204,693.65",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20338000020S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201203S000030,NRF2011200E0,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FROM 8380848400 TO 4660988400,,,,CASH TRANSFERRED OUT,#160,A1,12/3/2020,12/3/2020,12/3/2020,12/3/2020,12/3/2020,,12/3/2020,U.S. DOLLAR,USD,0,0,0,"-4,063,547.70","-4,063,547.70",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-4,063,547.70","-4,063,547.70",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20338000030S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201207A000030,,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CW,FUTURE ACTIVITY,,,,CASH TRANSFERRED OUT,#160,A1,12/3/2020,12/3/2020,12/7/2020,12/3/2020,12/3/2020,,12/3/2020,U.S. DOLLAR,USD,0,0,0,"-1,408.46","-1,408.46",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"-1,408.46","-1,408.46",0,0,0,0,0,0,0,790000,TRANSFER - CASH DISBURSED,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,540,TRANSFER DISBURSEMENT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20342000030A,1/29/2021 23:37,838084,838084,0
KSBG66050000,TOTAL ILLIQUID REAL,KSBF60530002,BLACKSAND CAPITAL II,20201203S000020,NRF2011190E9,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM 8380848400 TO 4661238400,,,,CASH TRANSFERRED IN,#085,A1,12/3/2020,12/3/2020,12/3/2020,12/3/2020,12/3/2020,,12/3/2020,U.S. DOLLAR,USD,0,0,0,"204,693.65","204,693.65",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"204,693.65","204,693.65",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20338000020S,1/29/2021 23:37,466123,466123,0
KSBG66050000,TOTAL ILLIQUID REAL,KSBF60529002,VGO II,20201203S000020,NRF2011200E0,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM 8380848400 TO 4660988400,,,,CASH TRANSFERRED IN,#085,A1,12/3/2020,12/3/2020,12/3/2020,12/3/2020,12/3/2020,,12/3/2020,U.S. DOLLAR,USD,0,0,0,"4,063,547.70","4,063,547.70",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"4,063,547.70","4,063,547.70",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20338000020S,1/29/2021 23:37,466098,466098,0
KSBG70000000,TOTAL ABS RETURN,KSBF70083002,RIVA CAPITAL PART V,20201203S000020,NRF2011130E6,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM 8380848400 TO 4660958400,,,,CASH TRANSFERRED IN,#085,A1,12/3/2020,12/3/2020,12/3/2020,12/3/2020,12/3/2020,,12/3/2020,U.S. DOLLAR,USD,0,0,0,"6,000,000.00","6,000,000.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"6,000,000.00","6,000,000.00",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20338000020S,1/29/2021 23:37,466095,466095,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201204S000040,GSF201204463,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM :8382498400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED IN,#085,A1,12/4/2020,12/4/2020,12/4/2020,12/4/2020,12/4/2020,,12/4/2020,U.S. DOLLAR,USD,0,0,0,"515,962.15","515,962.15",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"515,962.15","515,962.15",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20339000040S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201204S000050,GSF201204463,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM :4070478400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED IN,#085,A1,12/4/2020,12/4/2020,12/4/2020,12/4/2020,12/4/2020,,12/4/2020,U.S. DOLLAR,USD,0,0,0,"275,537.37","275,537.37",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"275,537.37","275,537.37",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20339000050S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201204S000060,GSF201204464,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM :8384468400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED IN,#085,A1,12/4/2020,12/4/2020,12/4/2020,12/4/2020,12/4/2020,,12/4/2020,U.S. DOLLAR,USD,0,0,0,"71,121.00","71,121.00",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"71,121.00","71,121.00",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20339000060S,1/29/2021 23:37,838084,838084,0
KSBG44750000,TOTAL CASH EQUIV,KSBF47500002,ENDOWMENT CASH,20201204S000070,GSF201204464,NA9123459,NA9123459,USD (UNITED STATES DOLLAR),,NA,UNITED STATES,0,0,RECEIPTS AND DISBURSEMENT TRANSACTIONS,CD,FROM :5783508400 10 MMD    TO,:8380848400 10 MMD,,,CASH TRANSFERRED IN,#085,A1,12/4/2020,12/4/2020,12/4/2020,12/4/2020,12/4/2020,,12/4/2020,U.S. DOLLAR,USD,0,0,0,"84,556.18","84,556.18",0,0,0,0,0,U.S. DOLLAR,USD,PRELIMINARY,0,0,0,"84,556.18","84,556.18",0,0,0,0,0,0,0,690000,TRANSFER - CASH RECEIPT,0,1,0,0,0,0,12/1/2020,2/1/2021,2/1/2021,,LONG,ADDED,100,138,TRANSFER RECEIPT,,NA1031,,,NA9123459,,,,,,,,NA9123459,20339000070S,1/29/2021 23:37,838084,838084,0
