Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,Begin Date,As Of Date,Total Market Value,End Date,End NAV,ROR
KSBG25000000,Total Developed Mkt,KSBF70093002,Oasis Japan,2020-10-31,2020-12-31,56455587.82,2021-01-31,56587468.07314751,0.0023359999999998703
KSBG25000000,Total Developed Mkt,KSBG25000000,Total Developed Mkt,2020-10-31,2020-12-31,2090017137.0,2021-01-31,2090017137.0,0.0
KSBG25050000,Developed Markets-Mgr Only,KSBF10010002,Adage,2020-10-31,2020-12-31,263133759.0,2021-01-31,260455846.734657,-0.01017700000000004
KSBG25050000,Developed Markets-Mgr Only,KSBF10021002,Whitespruce Fund,2020-10-31,2020-12-31,137970545.0,2021-01-31,136547889.3193415,-0.010311299999999924
KSBG25050000,Developed Markets-Mgr Only,KSBF10022002,Stockbridge Fund LP,2020-10-31,2020-12-31,73797302.75,2021-01-31,73529632.55319548,-0.003627099999999979
KSBG25050000,Developed Markets-Mgr Only,KSBF10023002,Whale Rock,2020-10-31,2020-12-31,208585402.4,2021-01-31,211593829.65881523,0.014423000000000139
KSBG25050000,Developed Markets-Mgr Only,KSBF15011102,Misc Equity,2020-10-31,2020-12-31,18809.89,2021-01-31,18622.93850329,-0.009939000000000019
KSBG25050000,Developed Markets-Mgr Only,KSBF20012002,Morgan Stanley Global,2020-10-31,2020-12-31,55722.27,2021-01-31,55136.79610910999,-0.010507000000000063
KSBG25050000,Developed Markets-Mgr Only,KSBF20017002,Cevian Capital II LTD,2020-10-31,2020-12-31,0.0,2021-01-31,0.0,
KSBG25050000,Developed Markets-Mgr Only,KSBF20018002,Kamvus,2020-10-31,2020-12-31,154364368.0,2021-01-31,152368282.35739198,-0.012931000000000109
KSBG25050000,Developed Markets-Mgr Only,KSBF20019002,Dynamo Fund LLC,2020-10-31,2020-12-31,75502105.54,2021-01-31,74833893.03044462,-0.008850249999999994
KSBG25050000,Developed Markets-Mgr Only,KSBF20020002,AKO European,2020-10-31,2020-12-31,145405000.0,2021-01-31,143697218.275,-0.011744999999999959
KSBG25050000,Developed Markets-Mgr Only,KSBF30027002,Blacksheep Fund,2020-10-31,2020-12-31,34047564.98,2021-01-31,33636876.441698246,-0.012062199999999855
KSBG25050000,Developed Markets-Mgr Only,KSBF35010002,IVA LLC,2020-10-31,2020-12-31,13444.78,2021-01-31,13311.15233158,-0.009939000000000014
KSBG25050000,Developed Markets-Mgr Only,KSBF35011002,Cantillon,2020-10-31,2020-12-31,151488799.5,2021-01-31,150155804.10655966,-0.008799299999999908
KSBG25050000,Developed Markets-Mgr Only,KSBF35013002,Deccan,2020-10-31,2020-12-31,143399337.0,2021-01-31,142283991.2967477,-0.0077778999999999
KSBG25050000,Developed Markets-Mgr Only,KSBF70010002,TCI Fund,2020-10-31,2020-12-31,306701618.8,2021-01-31,303702997.0729924,-0.00977700000000009
KSBG25050000,Developed Markets-Mgr Only,KSBF70076002,Biotechnology Value Fund,2020-10-31,2020-12-31,343245053.0,2021-01-31,363109879.8993008,0.05787360000000004
KSBG25050000,Developed Markets-Mgr Only,KSBF70093002,Oasis Japan,2020-10-31,2020-12-31,56455587.82,2021-01-31,56587468.07314751,0.0023359999999998703
KSBG25050000,Developed Markets-Mgr Only,KSBG25050000,Developed Markets-Mgr Only,2020-10-31,2020-12-31,2094184421.0,2021-01-31,2094184421.0,0.0
KSBG250NOT00,Total Developed Mkt Notional,KSBF10010002,Adage,2020-10-31,2020-12-31,263133759.0,2021-01-31,260455846.734657,-0.01017700000000004
KSBG250NOT00,Total Developed Mkt Notional,KSBF10021002,Whitespruce Fund,2020-10-31,2020-12-31,137970545.0,2021-01-31,136547889.3193415,-0.010311299999999924
KSBG250NOT00,Total Developed Mkt Notional,KSBF10022002,Stockbridge Fund LP,2020-10-31,2020-12-31,73797302.75,2021-01-31,73529632.55319548,-0.003627099999999979
KSBG250NOT00,Total Developed Mkt Notional,KSBF10023002,Whale Rock,2020-10-31,2020-12-31,208585402.4,2021-01-31,211593829.65881523,0.014423000000000139
KSBG250NOT00,Total Developed Mkt Notional,KSBF15011102,Misc Equity,2020-10-31,2020-12-31,18809.89,2021-01-31,18622.93850329,-0.009939000000000019
KSBG250NOT00,Total Developed Mkt Notional,KSBF19010002,US Equity Beta,2020-10-31,2020-12-31,-4167284.28,2021-01-31,-4167284.28,-0.0
KSBG250NOT00,Total Developed Mkt Notional,KSBF1901N002,US Equity Beta Notional,2020-10-31,2020-12-31,-279616875.0,2021-01-31,-279616875.0,-0.0
KSBG250NOT00,Total Developed Mkt Notional,KSBF20012002,Morgan Stanley Global,2020-10-31,2020-12-31,55722.27,2021-01-31,55136.79610910999,-0.010507000000000063
KSBG250NOT00,Total Developed Mkt Notional,KSBF20017002,Cevian Capital II LTD,2020-10-31,2020-12-31,0.0,2021-01-31,0.0,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20018002,Kamvus,2020-10-31,2020-12-31,154364368.0,2021-01-31,152368282.35739198,-0.012931000000000109
KSBG250NOT00,Total Developed Mkt Notional,KSBF20019002,Dynamo Fund LLC,2020-10-31,2020-12-31,75502105.54,2021-01-31,74833893.03044462,-0.008850249999999994
KSBG250NOT00,Total Developed Mkt Notional,KSBF20020002,AKO European,2020-10-31,2020-12-31,145405000.0,2021-01-31,143697218.275,-0.011744999999999959
KSBG250NOT00,Total Developed Mkt Notional,KSBF30027002,Blacksheep Fund,2020-10-31,2020-12-31,34047564.98,2021-01-31,33636876.441698246,-0.012062199999999855
KSBG250NOT00,Total Developed Mkt Notional,KSBF35010002,IVA LLC,2020-10-31,2020-12-31,13444.78,2021-01-31,13311.15233158,-0.009939000000000014
KSBG250NOT00,Total Developed Mkt Notional,KSBF35011002,Cantillon,2020-10-31,2020-12-31,151488799.5,2021-01-31,150155804.10655966,-0.008799299999999908
KSBG250NOT00,Total Developed Mkt Notional,KSBF35013002,Deccan,2020-10-31,2020-12-31,143399337.0,2021-01-31,142283991.2967477,-0.0077778999999999
KSBG250NOT00,Total Developed Mkt Notional,KSBF70010002,TCI Fund,2020-10-31,2020-12-31,306701618.8,2021-01-31,303702997.0729924,-0.00977700000000009
KSBG250NOT00,Total Developed Mkt Notional,KSBF70076002,Biotechnology Value Fund,2020-10-31,2020-12-31,343245053.0,2021-01-31,363109879.8993008,0.05787360000000004
KSBG250NOT00,Total Developed Mkt Notional,KSBF70093002,Oasis Japan,2020-10-31,2020-12-31,56455587.82,2021-01-31,56587468.07314751,0.0023359999999998703
KSBG250NOT00,Total Developed Mkt Notional,KSBG250NOT00,Total Developed Mkt Notional,2020-10-31,2020-12-31,1810400262.0,2021-01-31,1810400262.0,0.0
KSBG33000000,Total Emerging Markets,KSBF30014002,Stewart Investors,2020-10-31,2020-10-31,0.0,2020-11-30,0.0,
KSBG33000000,Total Emerging Markets,KSBF30015002,Westwood Global,2020-10-31,2020-12-31,-294700.0,2021-01-31,-294700.0,-0.0
KSBG33000000,Total Emerging Markets,KSBF30016002,Neon Liberty Lorikeet,2020-10-31,2020-12-31,31887742.99,2021-01-31,31913954.71473778,0.0008220000000000638
KSBG33000000,Total Emerging Markets,KSBF30017002,Hillhouse Gaoling Fund,2020-10-31,2020-12-31,337548574.2,2021-01-31,339553145.99850917,0.0059386172886674886
KSBG33000000,Total Emerging Markets,KSBF30017102,Hillhouse China VAL,2020-10-31,2020-12-31,107294677.3,2021-01-31,106345092.58222568,-0.008850249999999922
KSBG33000000,Total Emerging Markets,KSBF30022002,Acadian Emerging Mkts Sm Cap,2020-10-31,2020-12-31,0.0,2021-01-31,0.0,
KSBG33000000,Total Emerging Markets,KSBF30024002,"Westbridge Crossover Fund, LLC",2020-10-31,2020-12-31,28103407.74,2021-01-31,28390455.946656357,0.01021399999999997
KSBG33000000,Total Emerging Markets,KSBF30024102,Westbridge SPV SH,2020-10-31,2020-12-31,17183383.86,2021-01-31,17513309.19249164,0.019200253871977463
KSBG33000000,Total Emerging Markets,KSBF30024302,Westbridge Crsovr IV,2020-10-31,2020-12-31,10748426.6,2021-01-31,10858211.029292399,0.010213999999999947
KSBG33000000,Total Emerging Markets,KSBF30024402,Westbridge SPV-SH II,2020-10-31,2020-12-31,2970645.79,2021-01-31,3000987.9660990597,0.010213999999999878
KSBG33000000,Total Emerging Markets,KSBF30025002,Amansa Feeder Ltd,2020-10-31,2020-12-31,93293577.73,2021-01-31,92549435.50127332,-0.007976349999999995
KSBG33000000,Total Emerging Markets,KSBF30028002,Golden China Fund,2020-10-31,2020-12-31,109645987.4,2021-01-31,111260919.29001965,0.014728600000000001
KSBG33000000,Total Emerging Markets,KSBG33000000,Total Emerging Markets,2020-10-31,2020-12-31,738381723.6,2021-01-31,738381723.6,0.0
KSBG44000000,Total US Fixed Income,KSBF40011002,Payden US Treasury,2020-10-31,2020-12-31,243419412.0,2021-01-31,368419412.0,0.5135169745624067
KSBG44000000,Total US Fixed Income,KSBG44000000,Total US Fixed Income,2020-10-31,2020-12-31,243419412.0,2021-01-31,243419412.0,0.0
KSBG44500000,Total Non-US Fixed Income,KSBF45010002,Brandywine,2020-10-31,2020-12-31,58776.03,2021-01-31,58776.03,0.0
KSBG44500000,Total Non-US Fixed Income,KSBF45011002,Colchester Global,2020-10-31,2020-12-31,23891.57,2021-01-31,23891.57,0.0
KSBG44500000,Total Non-US Fixed Income,KSBF47510102,Payden Rygel Sweep Income,2020-10-31,2020-12-31,-98689.82,2021-01-31,-98689.82,-0.0
KSBG44500000,Total Non-US Fixed Income,KSBG44500000,Total Non-US Fixed Income,2020-10-31,2020-12-31,-16022.22,2021-01-31,-16022.22,-0.0
KSBG44750000,Total Cash Equivalents,KSBF47500002,Endowment Cash,2020-10-31,2020-12-31,204459409.1,2021-01-31,328737591.45000005,0.6078379219477068
KSBG44750000,Total Cash Equivalents,KSBG44750000,Total Cash Equivalents,2020-10-31,2020-12-31,204459409.1,2021-01-31,204459409.1,0.0
KSBG447NOT00,Total Cash Equiv Notional,KSBF47500002,Endowment Cash,2020-10-31,2020-12-31,204459409.1,2021-01-31,204459409.1,0.0
KSBG447NOT00,Total Cash Equiv Notional,KSBF47519002,US Equity Beta Syn Cash Offset,2020-10-31,2020-12-31,279616875.0,2021-01-31,279616875.0,0.0
KSBG447NOT00,Total Cash Equiv Notional,KSBG447NOT00,Total Cash Equiv Notional,2020-10-31,2020-12-31,484076284.1,2021-01-31,484076284.1,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF15011002,PE Stock Distributions,2020-10-31,2020-12-31,11716849.08,2021-01-31,-1818488.0500000007,-1.1552028226687716
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50100002,Advantage Partners IV,2020-10-31,2020-12-31,8472.87,2021-01-31,8472.87,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50102002,Bain Capital IX,2020-10-31,2020-12-31,775869.0,2021-01-31,775869.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50102102,Bain Capital X,2020-10-31,2020-12-31,3121544.0,2021-01-31,3121544.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50102202,Bain Capital XI,2020-10-31,2020-12-31,16532144.0,2021-01-31,15801682.0,-0.04418434777727559
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50102302,Bain Capital XII,2020-10-31,2020-12-31,13460753.0,2021-01-31,13460753.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50104002,Blackstone V,2020-10-31,2020-12-31,896793.32,2021-01-31,748092.57,-0.16581384660626153
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50105102,Bridgepoint Eur IV,2020-10-31,2020-12-31,3465293.04,2021-01-31,3465293.04,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50105202,"Bridgepoint Europe V, LP",2020-10-31,2020-12-31,9129328.26,2021-01-31,9129328.26,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50107002,Charterhouse VIII,2020-10-31,2020-12-31,1.22,2021-01-31,1.22,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50108002,CHS Private Equity V,2020-10-31,2020-12-31,0.0,2021-01-31,0.0,
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50110102,Corsair III,2020-10-31,2020-12-31,4653781.0,2021-01-31,4686342.0,0.006996676465867217
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50110202,Corsair IV,2020-10-31,2020-12-31,7873408.0,2021-01-31,7870939.0,-0.00031358720391474695
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50111002,Crimson Asia Capital,2020-10-31,2020-12-31,1.0,2021-01-31,1.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50111102,Crimson Velocity,2020-10-31,2020-12-31,250733.69,2021-01-31,250733.69,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50113102,CVC European IV,2020-10-31,2020-12-31,24990.6,2021-01-31,24990.6,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50113202,CVC European V,2020-10-31,2020-12-31,374163.34,2021-01-31,374189.80000000005,7.071777796301731e-05
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50113302,CVC VI,2020-10-31,2020-12-31,24554994.27,2021-01-31,24397897.27,-0.00639776162326101
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50113402,CVC Capital Partners VII LP,2020-10-31,2020-12-31,19073105.8,2021-01-31,19073105.8,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50114002,Doughty Hanson III,2020-10-31,2020-12-31,1.0,2021-01-31,1.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115002,Francisco Partners II,2020-10-31,2020-12-31,1041473.0,2021-01-31,1041473.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115102,Francisco Partners III,2020-10-31,2020-12-31,7748385.0,2021-01-31,7748385.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115202,Francisco Partners IV,2020-10-31,2020-12-31,32587071.0,2021-01-31,32587071.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115302,Francisco Partners Agility,2020-10-31,2020-12-31,22073685.06,2021-01-31,22073685.0,-2.7181686472288328e-09
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115402,Francisco Partners V,2020-10-31,2020-12-31,13768039.0,2021-01-31,15455539.0,0.12256647442675024
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115602,Francisco Partners Agility II,2020-10-31,2020-12-31,797018.0,2021-01-31,797018.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50118102,Industrial Growth Partners IV,2020-10-31,2020-12-31,1692281.91,2021-01-31,1705579.42,0.007857739258112149
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50118202,Industrial Growth Partners V,2020-10-31,2020-12-31,10145186.0,2021-01-31,10021537.26,-0.0121879224294163
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50120002,Ironbridge II,2020-10-31,2020-12-31,0.77,2021-01-31,0.77,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50122002,Lone Star VI,2020-10-31,2020-12-31,5953464.56,2021-01-31,5953464.56,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50122102,Lone Star VII,2020-10-31,2020-12-31,127568.23,2021-01-31,127568.23,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50123002,Longreach Capital 1,2020-10-31,2020-12-31,2829853.76,2021-01-31,2829853.76,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50123102,Longreach Capital 2,2020-10-31,2020-12-31,7265008.0,2021-01-31,7265008.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50123202,Longreach Capital 3,2020-10-31,2020-12-31,9154148.0,2021-01-31,9154148.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50124002,Madison Dearborn V,2020-10-31,2020-12-31,448105.0,2021-01-31,448105.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50124102,Madison Dearborn VI,2020-10-31,2020-12-31,10485158.0,2021-01-31,10485158.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50125102,Matlin Patterson II,2020-10-31,2020-12-31,191206.0,2021-01-31,191206.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50127002,MHR Inst III,2020-10-31,2020-12-31,5370321.0,2021-01-31,5370321.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50127102,MHR Institutional Partners IV,2020-10-31,2020-12-31,16113936.0,2021-01-31,16113936.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50128002,NH Priv EQ Asia,2020-10-31,2020-12-31,97457.0,2021-01-31,97457.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50128102,NH Priv EQ Asia III,2020-10-31,2020-12-31,14005971.0,2021-01-31,12823026.0,-0.08446004921758013
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50128202,NH Priv EQ Asia IV,2020-10-31,2020-12-31,20735457.0,2021-01-31,20735457.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129002,OCM Oppor V,2020-10-31,2020-12-31,1825.0,2021-01-31,1825.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129102,OCM Oppor VI,2020-10-31,2020-12-31,60.0,2021-01-31,60.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129202,OCM Oppor VII,2020-10-31,2020-12-31,36266.0,2021-01-31,36266.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129302,OCM Oppor VII-B,2020-10-31,2020-12-31,28716.0,2021-01-31,28716.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129402,OCM Oppor VIII,2020-10-31,2020-12-31,57209.0,2021-01-31,57209.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129502,OCM Oppor VIII-B,2020-10-31,2020-12-31,1936757.0,2021-01-31,1936757.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129602,Oaktree Opportunities Fund IX,2020-10-31,2020-12-31,9522861.0,2021-01-31,9522861.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129802,Oaktree Opportunities Xb,2020-10-31,2020-12-31,17518840.0,2021-01-31,19018840.0,0.08562210739980501
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50130102,OCM Principal Opps IV,2020-10-31,2020-12-31,109349.0,2021-01-31,109349.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50132002,Paul Cap VIII- A,2020-10-31,2020-12-31,970147.0,2021-01-31,970147.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50132102,Paul Cap IX,2020-10-31,2020-12-31,4042638.0,2021-01-31,4042638.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50134002,Quadrangle Cap II,2020-10-31,2020-12-31,744963.0,2021-01-31,744963.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50135002,Saif Partners III,2020-10-31,2020-12-31,28626803.0,2021-01-31,28488909.0,-0.004816954236908676
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50135102,Saif Partners IV,2020-10-31,2020-12-31,14571171.0,2021-01-31,14571171.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50136002,Sankaty Credit Opps III,2020-10-31,2020-12-31,1.0,2021-01-31,1.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50136102,Sankaty Credit Opps IV,2020-10-31,2020-12-31,430201.0,2021-01-31,430201.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50137002,SB Asia Invest II,2020-10-31,2020-12-31,5131159.0,2021-01-31,4673577.0,-0.08917712353096055
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50138002,Shamrock Cap Growth II,2020-10-31,2020-12-31,49072.0,2021-01-31,49072.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50138102,Shamrock Cap Growth III,2020-10-31,2020-12-31,6688088.0,2021-01-31,6688088.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50138202,Shamrock Capital Growth IV,2020-10-31,2020-12-31,16087650.0,2021-01-31,16087650.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50139002,Silver Lake II,2020-10-31,2020-12-31,11316.0,2021-01-31,11316.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50139102,Silver Lake III,2020-10-31,2020-12-31,3505917.0,2021-01-31,3427192.0,-0.022454895538028995
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50139202,Silver Lake IV,2020-10-31,2020-12-31,25544315.0,2021-01-31,25544315.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50139302,Silver Lake V,2020-10-31,2020-12-31,33520068.0,2021-01-31,33884474.0,0.01087127866208386
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50140002,Sino Finance Group,2020-10-31,2020-12-31,54444423.0,2021-01-31,54444423.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50141002,Summit Partners VII-B,2020-10-31,2020-12-31,1200903.0,2021-01-31,977376.0,-0.18613243534240484
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142002,TA Subord Debt II LP,2020-10-31,2020-12-31,10195.0,2021-01-31,10195.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142102,TA-X LP,2020-10-31,2020-12-31,35.0,2021-01-31,35.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142202,TA XI LP,2020-10-31,2020-12-31,8845435.0,2021-01-31,8845435.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142302,TA XII,2020-10-31,2020-12-31,7464423.0,2021-01-31,7464423.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142402,TA XIII LP,2020-10-31,2020-12-31,9688742.0,2021-01-31,9688742.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50143002,Terra Firma Cap III,2020-10-31,2020-12-31,61860.35,2021-01-31,61860.35,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50146002,Varde IX,2020-10-31,2020-12-31,30869.58,2021-01-31,30869.58,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50146102,Varde Fund X,2020-10-31,2020-12-31,2040778.3,2021-01-31,2040778.3,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50147002,Vestar Capital V,2020-10-31,2020-12-31,611730.44,2021-01-31,611730.44,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149002,Sequoia India Growth II,2020-10-31,2020-12-31,3894451.0,2021-01-31,3894451.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149102,Sequoia China Venture 2010,2020-10-31,2020-12-31,10153275.0,2021-01-31,10153275.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149202,Sequoia China Growth 2010,2020-10-31,2020-12-31,11643828.0,2021-01-31,11643828.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149302,Sequoia China Venture IV,2020-10-31,2020-12-31,7895296.0,2021-01-31,7895296.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149402,Sequoia Israel Venture V,2020-10-31,2020-12-31,4860872.0,2021-01-31,4860872.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149502,Sequoia China Growth III,2020-10-31,2020-12-31,28565330.18,2021-01-31,28565330.18,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149602,Sequoia India IV,2020-10-31,2020-12-31,8607909.0,2021-01-31,8607909.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149702,Sequoia China Venture V,2020-10-31,2020-12-31,9431282.9,2021-01-31,9431282.9,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149802,Sequoia Capital India V,2020-10-31,2020-12-31,13965403.0,2021-01-31,13965403.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50150002,Ceyuan Ventures III,2020-10-31,2020-12-31,13008016.62,2021-01-31,13008016.62,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151002,Sequoia US Growth V,2020-10-31,2020-12-31,3430270.84,2021-01-31,3430270.84,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151102,Sequoia US Growth VI,2020-10-31,2020-12-31,11100644.0,2021-01-31,11100644.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151202,Sequoia US Growth VII,2020-10-31,2020-12-31,14425116.68,2021-01-31,14425116.68,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151302,Sequoia US GR VIII,2020-10-31,2020-12-31,8100244.0,2021-01-31,8100244.0,0.0
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151402,Sequoia US GR IX,2020-10-31,2020-12-31,1365000.0,2021-01-31,1365000.0,0.0
