Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,As Of Date,Base Currency Code,Target Currency Code,Asset Type Name,Purchases,Sales,Total Market Value,Cap Market Value,Total Monthly Return,Cap Monthly Return,Return Due To Income,Total Index Value,Cap Index Value,Report ID,Begin Date,Legacy Currency,Euro Conversion Date
KSBG250NOT00,Total Developed Mkt Notional,KSBF35010002,IVA LLC,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,13172.88,0,2.2622,0,2.2622,101.8685,100,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF30027002,Blacksheep Fund,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,32670362.89,32670362.89,7.7203,7.7203,0,105.3086,105.3086,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20020002,AKO European,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,140567500,140567500,11.9123,11.9123,0,103.828,103.828,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20019002,Dynamo Fund LLC,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,71406456.19,71406456.19,16.0735,16.0735,0,113.6182,113.6182,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20018002,Kamvus,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,146970337.4,146970337.4,23.7332,23.7332,0,112.4983,112.4983,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20017002,Cevian Capital II LTD,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,-0.36,-0.36,-2.4813,-2.1752,-0.3061,97.0357,97.3567,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20012002,Morgan Stanley Global,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,54476.71,0,52.6547,-0.2655,52.9202,151.6392,99.7345,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF19010002,US Equity Beta,11/30/2020,USD,USD,TOTAL NET OF FEES,23403632,64369234,-32042932.81,-32042932.81,-373.2578,-373.2855,0.0277,-2065.541,-2065.2822,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF1901N002,US Equity Beta Notional,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,-535350187.2,-535350187.2,0,0,0,100,100,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF15011102,Misc Equity,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,18809.81,18809.81,0.2316,0.0006,0.231,100.0738,93.3338,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10023002,Whale Rock,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,194363445.4,194363445.4,8.2322,8.2322,0,108.5972,108.5972,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10022002,Stockbridge Fund LP,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,69776105.85,69776105.85,11.0742,11.0742,0,107.9316,107.9316,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10021002,Whitespruce Fund,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,136011072,136011072,15.1453,15.1453,0,108.059,108.059,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10010002,Adage,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,249372375,249372375,11.1245,11.1245,0,108.5581,108.5581,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBG250NOT00,Total Developed Mkt Notional,12/31/2020,USD,USD,TOTAL NET OF FEES,64383032,221635752,1810400262,1810331094,4.3468,4.3467,0,118.4558,118.4547,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70093002,Oasis Japan,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,56455587.82,56455587.82,4.3786,4.3786,0,112.9112,112.9112,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70076002,Biotechnology Value Fund,12/31/2020,USD,USD,TOTAL NET OF FEES,0,30000000,343245053,343245053,2.1352,2.1352,0,136.8955,136.8955,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF70010002,TCI Fund,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,306701618.8,306701618.8,1.3067,1.3067,0,113.7927,113.7927,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35013002,Deccan,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,143399337,143399337,13.6915,13.6915,0,106.8386,106.8386,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35011002,Cantillon,12/31/2020,USD,USD,TOTAL NET OF FEES,0,160000000,151488799.5,151488799.5,2.4791,2.4791,0,111.4048,111.4048,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF35010002,IVA LLC,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,13444.78,0,2.0641,0,2.0641,103.9712,100,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF30027002,Blacksheep Fund,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,34047564.98,34047564.98,4.2154,4.2154,0,109.7477,109.7477,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20020002,AKO European,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,145405000,145405000,3.4414,3.4414,0,107.4011,107.4011,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20019002,Dynamo Fund LLC,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,75502105.54,75502105.54,5.7357,5.7357,0,120.135,120.135,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20018002,Kamvus,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,154364368,154364368,5.031,5.031,0,118.1581,118.1581,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20017002,Cevian Capital II LTD,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,0,0,100,0,100,194.0714,97.3567,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF20012002,Morgan Stanley Global,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,55722.27,0,2.2864,0,2.2864,155.1063,99.7345,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF19010002,US Equity Beta,12/31/2020,USD,USD,TOTAL NET OF FEES,64383032,31635752,-4167284.28,-4167284.28,-1609.0773,-1610.7472,1.6699,31170.6097,31201.193,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF1901N002,US Equity Beta Notional,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,-279616875,-279616875,0,0,0,100,100,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF15011102,Misc Equity,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,18809.89,18809.89,18.4153,0.0004,18.4149,118.5027,93.3341,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10023002,Whale Rock,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,208585402.4,208585402.4,7.3172,7.3172,0,116.5434,116.5434,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10022002,Stockbridge Fund LP,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,73797302.75,73797302.75,5.763,5.763,0,114.1517,114.1517,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10021002,Whitespruce Fund,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,137970545,137970545,1.4407,1.4407,0,109.6158,109.6158,RAM532,10/31/2020,,
KSBG250NOT00,Total Developed Mkt Notional,KSBF10010002,Adage,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,263133759,263133759,5.5184,5.5184,0,114.5487,114.5487,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBG25000000,Total Developed Mkt,10/31/2020,USD,USD,TOTAL NET OF FEES,51350755,55272552,1872984274,1872918343,-1.1053,-1.1053,0,98.8947,98.8947,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70093002,Oasis Japan,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,48955000,48955000,-2.09,-2.09,0,97.91,97.91,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70076002,Biotechnology Value Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,269926248,269926248,7.654,7.654,0,107.654,107.654,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70010002,TCI Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,263108408.5,263108408.5,-2.3813,-2.3813,0,97.6187,97.6187,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35013002,Deccan,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,127981187,127981187,-4.6486,-4.6486,0,95.3514,95.3514,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35011002,Cantillon,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,230045528.5,230045528.5,-2.2871,-2.2871,0,97.7129,97.7129,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35010002,IVA LLC,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,12881.48,0,-0.385,0,-0.385,99.615,100,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF30027002,Blacksheep Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,30328889.95,30328889.95,-2.2389,-2.2389,0,97.7611,97.7611,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20020002,AKO European,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,125605000,125605000,-7.2238,-7.2238,0,92.7762,92.7762,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20019002,Dynamo Fund LLC,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,61518303.29,61518303.29,-2.1153,-2.1153,0,97.8847,97.8847,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20018002,Kamvus,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,118780072.5,118780072.5,-9.0799,-9.0799,0,90.9201,90.9201,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20017002,Cevian Capital II LTD,10/31/2020,USD,USD,TOTAL NET OF FEES,0,11518733,-1199.85,-1199.85,-0.4953,-0.4785,-0.0168,99.5047,99.5215,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20012002,Morgan Stanley Global,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,53048.99,0,-0.6652,0,-0.6652,99.3348,100,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF19010002,US Equity Beta,10/31/2020,USD,USD,TOTAL NET OF FEES,51350755,43753819,11723462.37,11723462.37,655.8946,655.7233,0.1713,755.8946,755.7233,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF15011102,Misc Equity,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,18809.7,18809.7,-0.1574,-6.6668,6.5094,99.8426,93.3332,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10023002,Whale Rock,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,179580011.1,179580011.1,0.3372,0.3372,0,100.3372,100.3372,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10022002,Stockbridge Fund LP,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,62819353.01,62819353.01,-2.8293,-2.8293,0,97.1707,97.1707,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10021002,Whitespruce Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,118121208,118121208,-6.1542,-6.1542,0,93.8458,93.8458,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10010002,Adage,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,224408061,224408061,-2.3095,-2.3095,0,97.6905,97.6905,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBG25000000,Total Developed Mkt,11/30/2020,USD,USD,TOTAL NET OF FEES,23403632,64369234,2084149222,2084081573,11.2751,11.2743,0.0007,110.0452,110.0444,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70093002,Oasis Japan,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,54087332.39,54087332.39,10.4838,10.4838,0,108.1747,108.1747,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70076002,Biotechnology Value Fund,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,336069158,336069158,24.5041,24.5041,0,134.0336,134.0336,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70010002,TCI Fund,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,302745772.4,302745772.4,15.065,15.065,0,112.325,112.325,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35013002,Deccan,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,126130175,126130175,-1.4463,-1.4463,0,93.9723,93.9723,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35011002,Cantillon,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,255935603.7,255935603.7,11.2543,11.2543,0,108.7098,108.7098,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35010002,IVA LLC,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,13172.88,0,2.2622,0,2.2622,101.8685,100,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF30027002,Blacksheep Fund,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,32670362.89,32670362.89,7.7203,7.7203,0,105.3086,105.3086,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20020002,AKO European,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,140567500,140567500,11.9123,11.9123,0,103.828,103.828,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20019002,Dynamo Fund LLC,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,71406456.19,71406456.19,16.0735,16.0735,0,113.6182,113.6182,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20018002,Kamvus,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,146970337.4,146970337.4,23.7332,23.7332,0,112.4983,112.4983,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20017002,Cevian Capital II LTD,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,-0.36,-0.36,-2.4813,-2.1752,-0.3061,97.0357,97.3567,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20012002,Morgan Stanley Global,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,54476.71,0,52.6547,-0.2655,52.9202,151.6392,99.7345,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF19010002,US Equity Beta,11/30/2020,USD,USD,TOTAL NET OF FEES,23403632,64369234,-32042932.81,-32042932.81,-373.2578,-373.2855,0.0277,-2065.541,-2065.2822,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF15011102,Misc Equity,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,18809.81,18809.81,0.2316,0.0006,0.231,100.0738,93.3338,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10023002,Whale Rock,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,194363445.4,194363445.4,8.2322,8.2322,0,108.5972,108.5972,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10022002,Stockbridge Fund LP,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,69776105.85,69776105.85,11.0742,11.0742,0,107.9316,107.9316,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10021002,Whitespruce Fund,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,136011072,136011072,15.1453,15.1453,0,108.059,108.059,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10010002,Adage,11/30/2020,USD,USD,TOTAL NET OF FEES,0,0,249372375,249372375,11.1245,11.1245,0,108.5581,108.5581,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBG25000000,Total Developed Mkt,12/31/2020,USD,USD,TOTAL NET OF FEES,64383032,221635752,2090017137,2089947969,3.304,3.3039,0,113.6811,113.6801,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70093002,Oasis Japan,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,56455587.82,56455587.82,4.3786,4.3786,0,112.9112,112.9112,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70076002,Biotechnology Value Fund,12/31/2020,USD,USD,TOTAL NET OF FEES,0,30000000,343245053,343245053,2.1352,2.1352,0,136.8955,136.8955,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF70010002,TCI Fund,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,306701618.8,306701618.8,1.3067,1.3067,0,113.7927,113.7927,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35013002,Deccan,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,143399337,143399337,13.6915,13.6915,0,106.8386,106.8386,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35011002,Cantillon,12/31/2020,USD,USD,TOTAL NET OF FEES,0,160000000,151488799.5,151488799.5,2.4791,2.4791,0,111.4048,111.4048,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF35010002,IVA LLC,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,13444.78,0,2.0641,0,2.0641,103.9712,100,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF30027002,Blacksheep Fund,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,34047564.98,34047564.98,4.2154,4.2154,0,109.7477,109.7477,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20020002,AKO European,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,145405000,145405000,3.4414,3.4414,0,107.4011,107.4011,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20019002,Dynamo Fund LLC,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,75502105.54,75502105.54,5.7357,5.7357,0,120.135,120.135,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20018002,Kamvus,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,154364368,154364368,5.031,5.031,0,118.1581,118.1581,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20017002,Cevian Capital II LTD,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,0,0,100,0,100,194.0714,97.3567,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF20012002,Morgan Stanley Global,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,55722.27,0,2.2864,0,2.2864,155.1063,99.7345,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF19010002,US Equity Beta,12/31/2020,USD,USD,TOTAL NET OF FEES,64383032,31635752,-4167284.28,-4167284.28,-1609.0773,-1610.7472,1.6699,31170.6097,31201.193,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF15011102,Misc Equity,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,18809.89,18809.89,18.4153,0.0004,18.4149,118.5027,93.3341,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10023002,Whale Rock,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,208585402.4,208585402.4,7.3172,7.3172,0,116.5434,116.5434,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10022002,Stockbridge Fund LP,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,73797302.75,73797302.75,5.763,5.763,0,114.1517,114.1517,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10021002,Whitespruce Fund,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,137970545,137970545,1.4407,1.4407,0,109.6158,109.6158,RAM532,10/31/2020,,
KSBG25000000,Total Developed Mkt,KSBF10010002,Adage,12/31/2020,USD,USD,TOTAL NET OF FEES,0,0,263133759,263133759,5.5184,5.5184,0,114.5487,114.5487,RAM532,10/31/2020,,
KSBG25050000,Developed Markets-Mgr Only,KSBG25050000,Developed Markets-Mgr Only,10/31/2020,USD,USD,TOTAL NET OF FEES,0,11518733,1861260811,1861194881,-1.9869,-1.987,0,98.0131,98.013,RAM532,10/31/2020,,
KSBG25050000,Developed Markets-Mgr Only,KSBF70093002,Oasis Japan,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,48955000,48955000,-2.09,-2.09,0,97.91,97.91,RAM532,10/31/2020,,
KSBG25050000,Developed Markets-Mgr Only,KSBF70076002,Biotechnology Value Fund,10/31/2020,USD,USD,TOTAL NET OF FEES,0,0,269926248,269926248,7.654,7.654,0,107.654,107.654,RAM532,10/31/2020,,
