Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,Begin Date,Beta
KSBG250NOT00,Total Developed Mkt Notional,KSBF20012002,Morgan Stanley Global,2020-10-31,0.9560175906254519
KSBG250NOT00,Total Developed Mkt Notional,KSBF20017002,Cevian Capital II LTD,2020-10-31,Not have CRBM
KSBG250NOT00,Total Developed Mkt Notional,KSBF20018002,Kamvus,2020-10-31,1.0590259413819787
KSBG250NOT00,Total Developed Mkt Notional,KSBF20019002,Dynamo Fund LLC,2020-10-31,0.7724821184317334
KSBG250NOT00,Total Developed Mkt Notional,KSBF20020002,AKO European,2020-10-31,0.8039427476588953
KSBG250NOT00,Total Developed Mkt Notional,KSBF30027002,Blacksheep Fund,2020-10-31,0.9069726915402976
KSBG250NOT00,Total Developed Mkt Notional,KSBF35010002,IVA LLC,2020-10-31,1.0154801762522683
KSBG250NOT00,Total Developed Mkt Notional,KSBF35011002,Cantillon,2020-10-31,0.8763586761424554
KSBG250NOT00,Total Developed Mkt Notional,KSBF35013002,Deccan,2020-10-31,1.0170276823996873
KSBG250NOT00,Total Developed Mkt Notional,KSBF70010002,TCI Fund,2020-10-31,0.9737318623805059
KSBG250NOT00,Total Developed Mkt Notional,KSBF70076002,Biotechnology Value Fund,2020-10-31,1.019240758759869
KSBG250NOT00,Total Developed Mkt Notional,KSBF70093002,Oasis Japan,2020-10-31,0.6411404843084896
KSBG250NOT00,Total Developed Mkt Notional,KSBG250NOT00,Total Developed Mkt Notional,2020-10-31,Not have CRBM
KSBG33000000,Total Emerging Markets,KSBF30014002,Stewart Investors,2020-10-31,Not have CRBM
KSBG33000000,Total Emerging Markets,KSBF30015002,Westwood Global,2020-10-31,Not have CRBM
KSBG33000000,Total Emerging Markets,KSBF30016002,Neon Liberty Lorikeet,2020-10-31,1.2678177380821776
KSBG33000000,Total Emerging Markets,KSBF30017002,Hillhouse Gaoling Fund,2020-10-31,0.5177699870617561
KSBG33000000,Total Emerging Markets,KSBF30017102,Hillhouse China VAL,2020-10-31,0.7724821184317341
KSBG33000000,Total Emerging Markets,KSBF30022002,Acadian Emerging Mkts Sm Cap,2020-10-31,Not have CRBM
KSBG33000000,Total Emerging Markets,KSBF30024002,"Westbridge Crossover Fund, LLC",2020-10-31,1.4066900625723218
KSBG33000000,Total Emerging Markets,KSBF30024102,Westbridge SPV SH,2020-10-31,1.4066900625723218
KSBG33000000,Total Emerging Markets,KSBF30024302,Westbridge Crsovr IV,2020-10-31,1.4066900625723218
KSBG33000000,Total Emerging Markets,KSBF30024402,Westbridge SPV-SH II,2020-10-31,1.4066900625723218
KSBG33000000,Total Emerging Markets,KSBF30025002,Amansa Feeder Ltd,2020-10-31,1.3049216886412172
KSBG33000000,Total Emerging Markets,KSBF30028002,Golden China Fund,2020-10-31,0.07541562945524337
KSBG33000000,Total Emerging Markets,KSBG33000000,Total Emerging Markets,2020-10-31,Not have CRBM
KSBG44000000,Total US Fixed Income,KSBF40011002,Payden US Treasury,2020-10-31,Not have CRBM
KSBG44000000,Total US Fixed Income,KSBG44000000,Total US Fixed Income,2020-10-31,Not have CRBM
KSBG44500000,Total Non-US Fixed Income,KSBF45010002,Brandywine,2020-10-31,Not have CRBM
KSBG44500000,Total Non-US Fixed Income,KSBF45011002,Colchester Global,2020-10-31,Not have CRBM
KSBG44500000,Total Non-US Fixed Income,KSBF47510102,Payden Rygel Sweep Income,2020-10-31,Not have CRBM
KSBG44500000,Total Non-US Fixed Income,KSBG44500000,Total Non-US Fixed Income,2020-10-31,Not have CRBM
KSBG44750000,Total Cash Equivalents,KSBF47500002,Endowment Cash,2020-10-31,Not have CRBM
KSBG44750000,Total Cash Equivalents,KSBG44750000,Total Cash Equivalents,2020-10-31,Not have CRBM
KSBG447NOT00,Total Cash Equiv Notional,KSBF47500002,Endowment Cash,2020-10-31,Not have CRBM
KSBG447NOT00,Total Cash Equiv Notional,KSBF47519002,US Equity Beta Syn Cash Offset,2020-10-31,Not have CRBM
KSBG447NOT00,Total Cash Equiv Notional,KSBG447NOT00,Total Cash Equiv Notional,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF15011002,PE Stock Distributions,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50100002,Advantage Partners IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50102002,Bain Capital IX,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50102102,Bain Capital X,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50102202,Bain Capital XI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50102302,Bain Capital XII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50104002,Blackstone V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50105102,Bridgepoint Eur IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50105202,"Bridgepoint Europe V, LP",2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50107002,Charterhouse VIII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50108002,CHS Private Equity V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50110102,Corsair III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50110202,Corsair IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50111002,Crimson Asia Capital,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50111102,Crimson Velocity,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50113102,CVC European IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50113202,CVC European V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50113302,CVC VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50113402,CVC Capital Partners VII LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50114002,Doughty Hanson III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115002,Francisco Partners II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115102,Francisco Partners III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115202,Francisco Partners IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115302,Francisco Partners Agility,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115402,Francisco Partners V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50115602,Francisco Partners Agility II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50118102,Industrial Growth Partners IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50118202,Industrial Growth Partners V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50120002,Ironbridge II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50122002,Lone Star VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50122102,Lone Star VII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50123002,Longreach Capital 1,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50123102,Longreach Capital 2,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50123202,Longreach Capital 3,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50124002,Madison Dearborn V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50124102,Madison Dearborn VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50125102,Matlin Patterson II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50127002,MHR Inst III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50127102,MHR Institutional Partners IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50128002,NH Priv EQ Asia,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50128102,NH Priv EQ Asia III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50128202,NH Priv EQ Asia IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129002,OCM Oppor V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129102,OCM Oppor VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129202,OCM Oppor VII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129302,OCM Oppor VII-B,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129402,OCM Oppor VIII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129502,OCM Oppor VIII-B,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129602,Oaktree Opportunities Fund IX,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50129802,Oaktree Opportunities Xb,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50130102,OCM Principal Opps IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50132002,Paul Cap VIII- A,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50132102,Paul Cap IX,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50134002,Quadrangle Cap II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50135002,Saif Partners III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50135102,Saif Partners IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50136002,Sankaty Credit Opps III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50136102,Sankaty Credit Opps IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50137002,SB Asia Invest II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50138002,Shamrock Cap Growth II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50138102,Shamrock Cap Growth III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50138202,Shamrock Capital Growth IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50139002,Silver Lake II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50139102,Silver Lake III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50139202,Silver Lake IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50139302,Silver Lake V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50140002,Sino Finance Group,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50141002,Summit Partners VII-B,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142002,TA Subord Debt II LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142102,TA-X LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142202,TA XI LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142302,TA XII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50142402,TA XIII LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50143002,Terra Firma Cap III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50146002,Varde IX,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50146102,Varde Fund X,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50147002,Vestar Capital V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149002,Sequoia India Growth II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149102,Sequoia China Venture 2010,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149202,Sequoia China Growth 2010,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149302,Sequoia China Venture IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149402,Sequoia Israel Venture V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149502,Sequoia China Growth III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149602,Sequoia India IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149702,Sequoia China Venture V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50149802,Sequoia Capital India V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50150002,Ceyuan Ventures III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151002,Sequoia US Growth V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151102,Sequoia US Growth VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151202,Sequoia US Growth VII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151302,Sequoia US GR VIII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50151402,Sequoia US GR IX,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50152002,FTV IV LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50152102,"FTV V, L.P.",2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50152202,FTV VI LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50153002,TCV VIII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50153102,TCV IX,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50153202,TCV X,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50154002,Telegraph Hill III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50155002,Marlin IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50155102,Marlin Heritage L.P.,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50155202,Marlin Equity V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50155302,Marlin Heritage II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50156002,Sentinel Capital V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50156102,Sentinel Capital VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50157002,ZMC II LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50157102,ZMC III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50158002,Kuramo Africa Opp Fund,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50158102,Kuramo Africa Opp Fund II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50159002,Pamlico Capital III LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50159102,Pamlico Capital IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50160002,Deerfield PD Fund III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50160102,Deerfield PD IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50161002,Hillhouse Fund II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50161102,Hillhouse Fund III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50161202,Hillhouse Fund IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50161302,Hillhouse V Feeder,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50161402,Hillhouse Focused V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50162002,DCM Ventures China Turbo Fund,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50162102,DCM Ventures China Fund VIII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50162202,DCM Vent China IX,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50163002,Valar Global Fund II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50163102,Valar Global Fund III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50163202,Valar Global Fund IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50163302,Valar Fund V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50163402,Valar Fund VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50164002,Shoreline China Value III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50164102,Shoreline Fund III Co-Inv,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50165002,Revolution Growth III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50166002,IDG China Capital Fund III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50166102,IDG China Venture V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50168002,Kandeo Fund II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50169002,Trustbridge V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50169102,Trustbridge VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50170002,Thompson Street Capital IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50171002,Sequoia Cap China Venture VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50171102,Sequoia Cap China Growth IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50171202,Sequoia China Seed I,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50171302,Sequoia China VC VII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50171402,Sequoia China GR V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50171502,Seq China Gr VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50171602,Seq China VC VIII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50171702,Seq China Seed II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50172002,Sequoia India VC VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50172102,Sequoia India Seed I,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50172202,Seq India Gr III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50172302,Seq India VC VII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50174002,Sequoia Cap Gbl Growth Fund II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50174102,Sequoia GLB GRTH III,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50174202,Seq Gbl III US India,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50174302,SEQ GBL III China,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50175002,Shamrock Cap Cont I,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50176002,GGV VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50176102,GGV VI Plus,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50176202,GGV Discovery I,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50176302,GGV VII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50176402,GGV VII Plus,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50176502,GGV Discovery II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50177002,Accel XIII,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50177102,Accel Growth Fund IV,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50177202,Accel Leaders Fund,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50177302,Accel India V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50177402,Accel Growth V,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50177502,Accel Leaders II,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50177602,Accel India VI,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50178002,83North IV LP,2020-10-31,Not have CRBM
KSBG55000000,Total Vent Cap and Priv Equity,KSBF50178102,83NORTH V,2020-10-31,Not have CRBM
